full_site_address,Latitude,Longitude,new_latitude,new_longitude,carwash_name_in_image,accessibility_score,rationale
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",37.299364,-83.2012171,37.299364,-83.2012171,Big Kahuna Car Wash,8,"The car wash sits on a two-lane service road (Commodore Street) immediately below a divided highway. Its single driveway is dedicated solely to the car wash and is located very close to the street, making it highly visible to approaching drivers from either direction. There is no median on Commodore, so left- or right-hand turns in and out of the site are direct and unrestricted. Although adjacent restaurants (Fazoli’s and Steak ’n Shake) generate moderate cross-traffic, their driveways are separate and do not share the car wash entrance, so conflicts are minimal. Overall, entering and exiting the property is straightforward and largely free of physical barriers or confusing turns, earning a score of 8 (“Good Accessibility”)."
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",33.0404585,-83.9400952,33.0404585,-83.9400952,Big Peach Car Wash - Forsyth,5,"The car wash sits on a multi-lane divided arterial (State Route 42) in a dense commercial corridor. It has no dedicated curb cut onto the highway; instead, both entry and exit flow through the shared driveway and parking lot of an adjacent strip center (Dollar Tree, Verizon, Domino’s, etc.). From southbound 42 a driver can make a right-in/right-out fairly directly, but northbound customers cannot cross the median and must proceed to a signalized intersection to U-turn or loop around—adding significant time and confusion. The shared access point is visible but also busy with other retail and fast-food traffic, increasing potential conflicts. Overall, access is functional but impeded by the median restriction, shared driveway and heavy surrounding traffic, meriting a mid-range (5) score."
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",33.2947224,-83.9602247,33.2947224,-83.9602247,Big Peach Car Wash,8,"The Big Peach Car Wash sits on a four-lane arterial (E 3rd St/US-23) with a two-way left-turn lane rather than a raised median. Its single curb cut is dedicated to the car wash (not shared with the hotel or fast‐food next door) and is highly visible from both directions. Left‐turns in and out are straightforward because of the center turn lane, and right‐turns are unimpeded. The only drawbacks are typical peak-hour delays on a busy commercial strip and minor cross-traffic conflicts from adjacent Taco Bell and the Days Inn driveways. Overall, direct access from a major road with full turning movements earns a ‘good’ score of 8."
"Big Peach Ola , 3479 Hwy 81 , McDonough , GA , 30252",33.4366472,-84.0385491,33.436647199999996,-84.0385491,Big Peach Car Wash,5,"The car wash sits on a four-lane, undivided state highway (Hwy 81) in a busy commercial corridor. Its single, dedicated curb cut is very visible and allows a simple right-in/right-out from the adjacent travel lanes, but a continuous painted (and likely raised) median along the frontage prohibits direct left turns either into or out of the site. Customers approaching from the opposite direction must pass the site, use the signalized Publix/restaurant intersection to the west or another median break to U-turn, and then come back, adding time and complexity. While the driveway itself is clearly defined and directly on the main road, the median restriction and heavy adjacent traffic make access only functional with significant drawbacks, placing it squarely in the “moderate accessibility” range."
"Big River Selma , 2409 N Broad St , Selma , AL , 36701",32.4325392,-87.0249312,32.4325392,-87.0249312,Big River Car Wash,8,"The Big River Car Wash sits directly on Broad Street, a multi-lane arterial with no raised median between the northbound and southbound lanes (only a two-way left-turn lane), so drivers from either direction can make a simple right- or left-turn into one of its two curb cuts. Both driveways are clearly defined and tied into the facility’s continuous internal loop, and they are dedicated to the car wash rather than shared with neighboring businesses.  Visibility from Broad Street is high, with no confusing side roads or circuitous in-lot routing required.  The only real drawback is the higher-speed traffic on a busy commercial corridor and a partner driveway directly across the street (Sherwin-Williams) which can occasionally lead to turning-movement conflicts during peak times.  On balance these are minor issues, so the site earns a “good” accessibility rating of 8 out of 10."
"Big River Troy , 1221 US-231 , Troy , AL , 36081",31.7801113,-85.949913,31.7801113,-85.949913,Big River Car Wash,7,"The car wash sits on a multi-lane divided arterial (US-53) with a full-access median break directly opposite Jiffy Lube, so a driver can make a single, straightforward turn into the shopping-center lot from either direction (though left-turners must use the median cut). The only way in is via a shared curb cut serving Jiffy Lube and the larger Troy Marketplace complex, so the driveway isn’t dedicated and can be busy with cross-traffic from adjacent retailers. Once inside the lot the wash tunnel is slightly tucked back in the row of tenants and sign visibility is modest, but there are no internal physical barriers or confusing one-way circulations to reach it. The surrounding environment is a dense commercial corridor with frequent turning vehicles, which can cause minor delays, but overall access is direct and intuitive."
"Blanding , 580 Blanding Blvd , Orange Park , FL , 32073",30.1522001,-81.7514299,30.152217099999998,-81.7510047,LUV Car Wash,7,"The car wash fronts directly on Blanding Boulevard, a busy four-lane divided arterial, with a single shared curb cut serving both the wash and the adjacent Golden Corral. A small median opening at the driveway technically allows left-in and left-out movements, but it is unguided (no dedicated turn lane) and customers must navigate moderate traffic volumes and yield to oncoming vehicles. The entrance is clearly visible from the road, but because it is shared with a high-volume restaurant and sits in a dense commercial strip (gas station, bank, other retail), turning conflicts and delays during peak hours are possible. Overall, access is direct and full-movement, but the lack of a dedicated turn bay, shared driveway, and heavy curbside traffic keep it from scoring higher than a 7 on a 10-point scale."
"Blu Wave Express Wash , 306 E Franklin St , Sylvester , GA , 31791",31.5301708,-83.8334232,31.530170799999997,-83.8334232,Blu Waye Express Wash,6,"The car wash sits on a busy four-lane arterial (US-82/E Franklin St) but does not have a direct curb cut onto that primary road; instead all traffic must turn off Franklin onto the smaller N Westberry St and then immediately turn into the lot. On the plus side, Westberry is a low-volume cross-street with a single, dedicated driveway for the car wash (no shared entrances) and there are no raised medians or complex U-turn maneuvers required. The entrance is obvious once on Westberry and exits funnel back to that same street; however, the indirect two-turn path from the main road and the reliance on a secondary road prevent this from ranking in the “good” or “excellent” category. Overall the site offers functional but not fully intuitive access, earning a moderate (6/10) score."
"Blu's Flex Serve Car Wash , 420 S Main St , Lumberton , TX , 77657",30.2490469,-94.1977178,30.249126399999998,-94.1978149,Blu's Car Wash,8,"The car wash fronts US-96, a four-lane arterial with a flush two-way center turn lane in front of the site, giving drivers direct left- and right-turn access. Two separate, dedicated curb cuts on the east side of the property serve as ingress and egress points; they are highly visible from the main road and are not shared with any other business. There is no raised median at the car wash driveways that would force U-turn detours, and while US-96 carries moderate to heavy traffic at peak times (which can slow left turns), the presence of the center turn lane keeps delays minimal. Adjacent commercial drives on the opposite side of the street do not conflict with or obscure the car wash entrances. Overall, access is intuitive, direct, and unobstructed, with only minor slowdown potential during busy periods."
"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",33.2738091,-84.2918572,33.2738091,-84.2918572,Blue Penguin Car Wash,5,"The Blue Penguin Car Wash sits on the southwest corner of a signalized intersection of two multi-lane arterials (US-41 north–south and GA-92 east–west) so the building and its signage are highly visible. However, there is no dedicated curb cut directly onto either major road. Instead, customers enter via a broad, shared loop road that also serves a Wendy’s, Zaxby’s, a bank and other businesses. A painted median on GA-92 blocks straightforward left‐turn entry or exit from one direction, meaning some drivers must proceed through the signal to make a U-turn. The shared driveway and proximity to busy restaurant drive-thrus increase conflict potential, especially during peak dining hours. While the entrance is easy to spot once you know where to look and turning right in from GA-92 is simple, the need to negotiate U-turns or navigate a common access road with other high-traffic uses keeps this location at a moderate accessibility level."
"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",34.0440574,-84.6949093,34.0440574,-84.69490929999999,Blue Rhino Carwash & Emmissions,8,"The car wash sits on a two-lane commercial arterial (Kemp Ridge Road) immediately off US-41, with a single, dedicated driveway onto the side street. A driver approaching from either direction on Kemp Ridge Road can make one simple turn into the site – there is no median or raised barrier forcing U-turns or circuitous routing. The curb cut is clearly marked and separate from neighboring entries (the Pike Nurseries pad to the south and the Starbucks drive-thru to the north), so there is minimal confusion or shared‐drive conflict. Although the surrounding strip-center environment brings periodic cross‐traffic at adjacent businesses, the entrance is highly visible from the main road and access is intuitive. These factors together place the site’s ingress/egress comfortably in the “good accessibility” range."
"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",29.4218032,-95.2267778,29.421803200000003,-95.2267778,BlueWave Express Car Wash,8,"The car wash sits directly on the northbound frontage (service) road of State Highway 35, making it visible and reachable by a single, dedicated driveway. Entrance and exit points are clearly defined, un-shared curb cuts located immediately off the service road, with no on-site cross-access through adjacent tenants. Because the frontage road is one-way northbound on that side of the highway, customers coming from the south must either turn across lanes (if allowed) or carry on to the Hwy 6 intersection, execute a U-turn, then return north to enter—adding a minor detour. Surrounding uses (restaurants, tire shop) generate moderate but not blocking frontage-road traffic and do not share the car wash entrance, so there are few conflicts. Overall, access is direct, visible, and straightforward for northbound traffic, with only a slight inconvenience for southbound approaches, justifying a score of 8."
"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",28.6989033,-100.484934,28.698886299999998,-100.4849123,BlueWave Express Car Wash,8,"The car wash sits directly on Farm-to-Market Road 375, a multi-lane arterial with a two-way center turn lane that allows direct left- and right-turn movements into and out of the site. There is a single curb cut on the main road that serves this car wash along with the adjacent HTeaO and Discount Tire locations, so access is shared but clearly defined. No raised medians or complex detours are required; drivers simply use the center turn lane at the driveway break for ingress and egress. Visibility is good—the blue wash canopies and on-site signage are easily seen from both directions on FM-375—and the entry point is just one simple turn off the main road. The only minor drawbacks are the shared driveway with two other tenants and the high volume of cross-traffic from nearby fast-food and retail businesses, which could slow turns during peak periods. Overall, entry and exit are straightforward and intuitive, earning a score of 8 (Good Accessibility)."
