full_site_address,Latitude,Longitude,new_latitude,new_longitude,carwash_name_in_image,classification,justification
"Cartersville , 9 Hillview Ave NE , Cartersville , GA , 30121",34.2065892,-84.8002252,34.206558199999996,-84.8001403,Mach-1 Express Wash of Cartersville,Corner,"At all zoom levels the red-circled car wash sits at the southwest quadrant of the intersection of two clearly important roads—Hillview Ave SE on its west side and Hillpoint St NE on its north side. Both streets feature multiple travel lanes, turn arrows, curb cuts and direct connection into the adjacent US-411 interchange, confirming they are major thoroughfares. The lot fronts on at least two of these main roads, fulfilling the definition of a Corner Lot."
"Castaway Car Wash , 1686 S 8th St , Fernandina Beach , FL , 32034",30.6479175,-81.4592685,30.6479175,-81.4592685,Castaway Car Wash,Inside,"The red-circled car wash fronts only one primary thoroughfare (Jimmy Buffett Mem Hwy/The Buccaneer Trail) and does not sit at the junction of two major roads. The lot’s other borders are a private service drive to self-storage on the east and the Amelia Plaza shopping center drive on the south—neither qualifies as a second ‘major road.’ No intersection of two wide, multi-lane streets is directly adjacent to the site, so it is an inside lot."
"Cedar Town , 1559 Rome Hwy , Cedartown , GA , 30125",34.045311,-85.2369717,34.045311,-85.2369717,Mach-1 Express Wash Cedartown,Inside,"At all zoom levels the car wash sits along US-27 but does not occupy the corner of two major public roads. The east side of the lot borders the wide divided highway (US-27), while the west and south edges abut a narrow private/service drive and shopping-center parking aisles – not another major roadway. There is a true signalized intersection of US-27 and Stephens Road just north, but the red-circled parcel is inset from that junction and only fronts one major road, qualifying it as an Inside Lot."
"Champion - Old Hickory , 1432 Robinson Rd , Old Hickory , TN , 37138",36.2568948,-86.6562578,36.256480499999995,-86.6556315,Champion Car Wash,Inside,"Although the Champion Car Wash sits directly on Robinson Road (State Route 45), the only street meeting it at the red-circled lot is Martingale Drive, which is a two-lane local/service road rather than a second major thoroughfare. There is no intersection of two wide, numbered roads or highways directly at the property. In other words, it fronts one primary arterial and one minor access road, placing it mid-block along the highway, not at a corner of two major roads."
"Champion CW - HENDER , 1159 W Main St , Hendersonville , TN , 37075",36.3085083,-86.6632137,36.308529199999995,-86.6632088,Advanced Autowash II,Inside,"All three zoom levels show Champion Car Wash sitting mid-block on the south side of US-31E with only one curb cut onto that main road. Although a signalized intersection (US-31E & Center Point Rd) lies to the west and a private lane (Monthaven Park Private Pl) ties in just north of the site, the car wash itself is not directly at either of those crossings. It faces only US-31E (a single major road) and is flanked by neighboring properties on its east and west sides, so it does not occupy a corner of two major roads. Thus it meets the criteria for an Inside Lot."
"Champion CW - PLVIEW , 101 Ren Mar Dr , Pleasant View , TN , 37146",36.397869,-87.030783,36.3978829,-87.03081,Champion Car Wash,Inside,"The car wash is situated along Ren Mar Ctr Dr and the Hwy 49 on-ramp but does not front on a second major road or highway. The adjacent streets are a service road and a ramp rather than a true intersection of two primary thoroughfares. No two wide, labeled roads meet directly at the red-circled lot; instead, the lot lies mid-block along the service drive with only one main highway frontage, meeting the criteria for an Inside Lot."
"Champion Car Wash , 930 Old US Hwy 1 , Southern Pines , NC , 28387",35.1677913,-79.4033042,35.1677913,-79.4033042,Champion Car Wash & Detail Shop,Corner,"At all three zoom levels the red-circled car wash is directly adjacent to two clearly defined through-streets – S Bennett Street on the west side of the lot and Old US Hwy 1 along the south side. You can see multiple lanes, turn arrows and even the ’Old US Hwy 1’ shield marking on the road, confirming both are major roads. The car wash sits squarely at that intersection, with frontage on both roads, which meets the criteria for a Corner Lot."
"Champions CW , 20118 Stone Oak Parkway , San Antonio , TX , 78258",29.6260576,-98.4953595,29.626057600000003,-98.49535949999999,Car Wash,Corner,"The red-circled car wash sits directly at the signalized intersection of two multi-lane thoroughfares (Stone Oak Parkway running north–south and a busy east–west arterial). At zoom levels 18 and 19 you can clearly see the lot has curb cuts and drive aisles connecting to both streets, turn-arrow lanes and crosswalks on each side, and bus-stop signage along Stone Oak Parkway. These are unmistakable hallmarks of a corner lot rather than a mid-block or single-frontage site."
"Champs Car Wash , 775 N Mustang Rd , Tuttle , OK , 73089",35.3019905,-97.7245565,35.301990499999995,-97.72455649999999,Champs Car Wash,Inside,"The car wash sits along N Mustang Rd (a major highway) but its only other adjacent roadway is ACAM Dr, which is a narrow private access road serving the storage facility—not a second wide, multi-lane street. No intersection of two major roads borders the red-circled lot; the south and west sides back onto undeveloped land and storage buildings. Therefore, it does not occupy a corner of two main roads and qualifies as an Inside Lot."
"Clarksville , 1606 Haynes St , Clarksville , TN , 37043",36.515143,-87.315686,36.515048,-87.315696,Whitecap Car Wash,Inside,"At all zoom levels the red-circled parcel sits mid-block along Haynes Street with only a single major road frontage. To the south is the Whataburger lot, to the north is another commercial building, and the car wash parcel does not extend to the ALT-41 intersection or abut any second wide thoroughfare. There are no two major roads forming a corner at this site, so it meets the criteria of an Inside Lot."
"Classic Auto Wash , 289 N Comrie Ave , Johnstown , NY , 12095",43.0191956,-74.3623202,43.019195599999996,-74.3623202,Classic Auto Wash,Inside,"At all zoom levels the Classic Auto Wash parcel only directly fronts N Comrie Avenue. Its northern edge is a private access drive behind the Telecon Wireless building, and the western boundary ties into a small side street (Fisher Avenue) and parking aisles. It does not sit at a crossroads of two major roads; it is mid-block on one primary thoroughfare, meeting the criteria for an Inside Lot."
"Clean Wheels , 3919 Cheyenne Street , Cheyenne , WY , 82001",41.1469765,-104.7615591,41.1469765,-104.7615591,Clean Wheels Car Wash,Corner,"The red-circled car wash sits directly at the junction of North College Drive (State Highway 212) on its east side and E Pershing Blvd on its south side. Both streets are clearly major, multi-laned roads with turn lanes and signalized intersections visible in the images. The lot has curb cuts and customer access points on both College Drive and Pershing Blvd, confirming it fronts two primary roads and therefore qualifies as a Corner Lot."
"ClearWater - Burleson , 279 NW John Jones Dr , Burleson , TX , 76028",32.523754,-97.3526833,32.523754,-97.3526833,ClearWater Express Wash,Corner,"The car wash sits directly at the signalized intersection of two multi-lane arterials (NW John Jones Drive and Greentridge Drive). Both roads show turn lanes, crosswalk markings, and medians indicative of major thoroughfares. The building fronts onto each road, forming a clear corner lot configuration at their junction."
"ClearWater - Cleburne , 809 W Henderson St , Cleburne , TX , 76033",32.3440449,-97.3974471,32.3440472,-97.39733849999999,ClearWater Express Car Wash,Corner,"The red-circled car wash sits directly at the junction of two significant public roads – Business US-67 (S Holloway Street) running north–south and W Chambers Street running east–west. At least two wide, multi-lane thoroughfares meet adjacent to the lot, with curb cuts and vehicle access on both streets. The presence of turn lanes, roadway markings, and continuous commercial frontage on both sides confirms that this is a true corner location rather than a mid-block or inside lot."
"ClearWater - Conroe 105 , 14667 Hwy 105 West , Montgomery , TX , 77356",30.3539021,-95.5851161,30.353902100000003,-95.5851161,ClearWater Express Wash,Inside,"The car wash only fronts one major roadway (Highway 105) and lies mid-block between other properties. There is no intersection of two wide, public roads immediately adjacent to the red-circled lot—just a private service drive to the west and a vacant parcel/hotel to the east. Therefore it does not meet the criteria for a Corner Lot and is classified as an Inside Lot."
"ClearWater - Houston 249 , 6421 West Rd , Houston , TX , 77086",29.9123294,-95.4837309,29.9123294,-95.4837309,ClearWater Express Wash,Inside,"The car wash sits mid-block along West Road (a frontage/service road) between other retail buildings and is not located at an intersection of two major roads. Although Tomball Parkway (FM 249) and West Road intersect just to the east, the wash itself is one building removed from that junction and is bordered on its other sides by private driveways and internal service lanes rather than a second wide public roadway. Therefore it does not form a corner of two main streets and is classified as an Inside Lot."
"ClearWater - Magnolia , 14206 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2243894,-95.68431,30.224389400000003,-95.68431,ClearWater Express Wash,Inside,"At all zoom levels the wash is tucked inside the highway interchange rather than sitting at a true public‐street corner. One side of the lot faces FM 1488 (a major road), but the only other bordering “road” is the curved exit ramp/service drive for the interchange – not a second major public street intersection. No two wide, named roads meet adjacent to the red-circled building, and the driveway cuts are exclusively onto the ramp and FM 1488 frontage. Therefore it does not occupy a corner of two main roads and is classified as an Inside Lot."
"ClearWater - Willis East , 111 Holland St , Willis , TX , 77378",30.4229852,-95.4861172,30.422985200000003,-95.4861172,ClearWater Express Wash,Inside,"Although the car wash has frontage on W Montgomery Street (a major multi-lane commercial arterial), its other street frontages (Stewart St to the north and Kennedy St to the west) are narrow, local residential roads without turn lanes, medians, or other features of major through-streets. The car wash sits between the big retail center at Kennedy/W Montgomery and the bank at Holland/W Montgomery, rather than directly at an intersection of two main roads. Therefore it does not occupy a true corner formed by two major arterials and is best classified as an Inside Lot."
"Clearview Car Wash East Tawas , 1748 US-23 , East Tawas , MI , 48730",44.2909221,-83.4528286,44.2909221,-83.4528286,,Inside,"At all three zoom levels the car wash sits mid-block along one main thoroughfare (US-23/Huron Shores Heritage Route) and does not border a second wide public street. The only other driveways visible on the east and west sides are narrow service/parking‐lot entrances into neighboring properties, and the road to the rear is a private or minor access lane through woods. There is no intersection of two major roads adjacent to the red-circled lot, so it meets the criteria for an Inside Lot."
"Clearview Car Wash Oscoda , 5232 N U.S. 23 , Oscoda , MI , 48750",44.432142,-83.3297029,44.432142,-83.3297029,Clearview Car Wash,Corner,"The red-circled car wash sits directly at the meeting point of two public through-roads: the multi-lane state highway F-41 on its west side and Jerome Avenue on its north side. In the zoom-17 view you can clearly see a signalized intersection and a median on F-41 where it crosses Jerome Avenue. In the zoom-18/19 views the lot has curb cuts and direct access points onto both F-41 and Jerome, fulfilling the corner-lot criteria of having two major roads meet adjacent to the property."
"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",45.0606433,-83.4526433,45.0606217,-83.4524398,Ripley Car Wash,Inside,"At all zoom levels the car wash sits mid-block along S Ripley St between W Washington Ave to the north and W Campbell St to the south. Only one clearly major road (S Ripley) borders the red-circled lot. The opposite edges of the property front a private service drive and a minor cross street rather than a second wide, high-traffic road. No intersection of two main roads abuts the lot, so it does not meet the Corner Lot criteria and is therefore an Inside Lot."
"Clearview Car Wash State Street , 105 Mason St , Alpena , MI , 49707",45.0475512,-83.4484188,45.0475512,-83.4484188,State Street Auto Wash,Corner,"The red-circled lot directly abuts the intersection of two major roads: US-23 (Huron Shores Heritage Route) running east–west and Mason Street running north–south. Both roadways are wide, multi-lane thoroughfares with visible lane markings and turn lanes. The car wash property has frontage and curb cuts on each of these main roads, forming a clear corner configuration. These features meet the criteria for a Corner Lot."
"Coastline Express , 4447 Main St , Shallotte , NC , 28470",33.984025,-78.3666889,33.9841347,-78.366512,The RipTide Car Wash,Inside,"All three zoom levels show the RipTide Car Wash sitting mid‐block on Main Street (BUS 17) with only one major road directly abutting the lot. The lot is flanked on each side by other commercial properties and is accessed via a private service drive rather than a second wide public roadway. The nearest true intersections (Birch Pond Drive & Main Street to the west, Ridgeway SW & Main Street to the east) are separated from the car wash by adjacent parcels, so it does not occupy a corner formed by two major roads."
"Conway - Old Morrilton Hwy , 1505 Old Morrilton Hwy , Conway , AR , 72032",35.1113002,-92.4448947,35.1112937,-92.44494209999999,Splash Car Wash & 10-Minute Oil Change,Inside,"All three zoom levels show that the car wash lot only fronts Old Morrilton Hwy (Highway 64). It does not directly meet any second major road or highway at the corner. To its west is a narrow bank drive (private access to Washington Ave), and on its east is a Lowe’s service road—neither qualify as a wide public thoroughfare. There is no intersection of two main roads adjacent to the red-circled lot, so it is an Inside Lot."
"Coors , 5401 Sevilla Ave NW , Albuquerque , NM , 87120",35.1411474,-106.6991857,35.141163299999995,-106.69901689999999,Champion Xpress Carwash,Inside,"Although the lot sits adjacent to a multi‐lane freeway to the east, the red-circled car wash itself is not located directly at the intersection of two major public roads.  On its southern side it fronts Sevilla Avenue NW (a primary arterial), but on the west and north it only abuts a local commercial drive (Costa Almeria Drive NW) and a narrow service road (Wind Road NW) – neither of which qualify as wide, signal-controlled thoroughfares.  There is no corner where two main roads meet immediately beside the circled building, so by our criteria this is an Inside Lot."
"Corinth , 2210 S Harper Rd , Corinth , MS , 38834",34.9120866,-88.5034177,34.9120145,-88.50331700000001,Mach-1 Express Wash of Corinth,Inside,"All three zoom levels show the Mach-1 car wash fronting on S Harper Road only. The other lot boundaries border a private service drive and parking areas for adjacent businesses (a bank to the south and retail to the north) rather than a second major public road. The true intersection of Harper Road and Highway 72 lies north of the red-circled parcel, so the wash is mid-block on Harper Road, not at the corner of two major streets."
"Covington , 29 Robbins Rd , Covington , TN , 38019",35.5436772,-89.663502,35.543711699999996,-89.6635086,Century Express Carwash - Covington,Inside,"At all zoom levels the car wash sits mid-block along Robbins Road (a frontage/service road for US-51) rather than at the corner of two major public thoroughfares. On one side it faces US-51 via the frontage road and on the other side it only borders a private driveway leading to adjacent businesses. There is no true intersection of two main roads directly adjacent to the red-circled lot, so it qualifies as an Inside Lot."
"Crystal Clean Auto Spa , 75 Old HWY 96 , Bonaire , GA , 31005",32.5488135,-83.5955388,32.5488135,-83.5955388,Crystal Clean Auto Spa,Inside,"Although the car wash sits at the corner of two paved drives on the site, neither of those drives are major public thoroughfares. A true Corner Lot under our definitions would front two major roads (e.g. US-129, Old SR-96), but Crystal Clean Auto Spa is actually set back on an internal service road loop that connects into US-129’s interchange area and into Old SR-96. At higher zooms you can see it does not directly abut the US-129/Old SR-96 intersection or any other two wide, labelled public roads – only narrower site drives and service lanes – so it is an Inside Lot."
"DAVID CHEVROLET , 10225 Niagara Falls Blvd , Niagara Falls , NY , 14304",43.0986208,-78.9422278,43.0983235,-78.94217580000002,David Chevrolet Car Wash,Inside,"At all zoom levels the red-circled car-wash building is located well inside the David Chevrolet dealership parcel rather than sitting at the intersection of two main roads. Although the dealership property borders Route 62 (an east–west highway) to the north and Williams Road (a north–south arterial) to the east, the car-wash structure is behind the showroom/garage building and internal parking lot. It has no direct frontage on two major roads, is accessed by an internal service drive, and is surrounded by dealership parking and open field on its other sides. Therefore this car wash is on an Inside Lot."
"DON'S EXPRESS CARWASH , 200 Waldon Rd , Harlan , KY , 40831",36.8192661,-83.3184822,36.8203282,-83.3185855,Don's Express Car Wash,Inside,"At all zoom levels the car wash only directly fronts Tway Hollow Road and does not sit at the junction of two major thoroughfares. On the east side it is bordered by the Martins Fork creek and a narrow frontage/service road for US 421 rather than the main highway itself. There is only a single curb cut onto Tway Hollow Road and the other adjacent ways (Waldon Drive, parking lot access lanes) are minor. Therefore this site lies mid-block along one main road and is an Inside Lot."
"Dallas Kwik-Mart , 2384 Memorial Highway , Dallas , PA , 18612",41.3313887,-75.9536603,41.331388700000005,-75.9536603,Dallas kwik-Mart,Inside,"All three zoom levels show that the car-wash lot sits mid-block on the south side of State Route 309 without directly abutting any second major roadway.  The only substantial road frontage is on SR 309; to the south is Toby Creek, not a street, and the other nearby drives are private access lanes or gas-station forecourt circulation.  The true SR 309/PA 415 intersection lies several hundred feet to the northwest of the lot, and no two wide, labeled roads meet at the red-circled parcel.  Under the given definitions, it therefore qualifies as an Inside Lot."
"Daybreak Market , 19701 Cochran Blvd , Port Charlotte , FL , 33948",27.0167144,-82.1334659,27.016714399999998,-82.1334659,DayBreak Car Wash,Corner,"The red-circled car wash sits directly at the junction of two major multi-lane thoroughfares (Cochran Boulevard running north–south and Veterans Boulevard running east–west).  At all zoom levels you can see wide travel lanes, turn arrows, crosswalks, curb cuts/driveway entrances on both sides of the property, and traffic control for each approach.  Because it fronts two principal roads meeting at an intersection, it clearly meets the definition of a Corner Lot."
"Delta , 1201 Valley View Dr , Delta , CO , 81416",38.751272,-108.055851,38.7512362,-108.055924,Champion Xpress Carwash,Inside,"At all zoom levels the car wash only directly fronts Highway 92—a multi-lane state route—while the roads on the other sides (Circle Drive and the Valley View/center access drives) are narrow, two-lane service roads and parking lot aisles, not major through-streets. There is no intersection of two high-capacity roads at the red-circled property, so it does not sit on a true corner of two main roads and is therefore classified as an Inside Lot."
"Detricks Conway , 2280 Church St , Conway , SC , 29526",33.85278,-79.0754414,33.85278,-79.0754414,,Inside,"Across all zoom levels the red-circled car wash fronts only one true arterial (US 501/Church St). The two other roads touching the lot—Village St and King St—are narrow local service streets feeding adjacent properties and the shopping center, not second major thoroughfares. Because the site does not sit at the corner of two wide, high-volume roads, it is classified as an Inside Lot."
"Detricks Glenforest , 1036 Glenforest Rd , Myrtle Beach , SC , 29579",33.7547775,-78.9635923,33.754777499999996,-78.9635923,Detrick's Car Wash,Corner,"The circled site directly borders two wide public thoroughfares – Glenforest Road on its east side and Glenbriar Drive on its south side – which meet at a clearly marked intersection immediately adjacent to the lot.  Both roads have multi-lane pavement, turn arrows, and sidewalk crosswalks, satisfying the requirement for two major roads forming a visible corner.  The lot even adjoins the divided Edward E. Burroughs Highway on its west side, further underscoring that it sits at the junction of multiple main routes rather than mid-block."
"Diamond Express , 1801 Lander Ave , Turlock , CA , 95380",37.475985,-120.8494004,37.4750118,-120.84785249999999,Fast Track Car Wash,Corner,"The red-circled car wash parcel sits at the junction of two major roads (E Glenwood Ave and Lander Ave). Both roads are wide multi-lane thoroughfares with turn arrows and crosswalk markings at their intersection immediately adjacent to the lot. The lot has direct access (curb cuts) onto both of these main roads, forming a clear corner location rather than being mid-block on a single street."
"Dickys Bluffton , 1930 N Main St , Bluffton , IN , 46714",40.7705245,-85.166528,40.7705245,-85.166528,Dicky's Express Car Wash - Bluffton,Inside,"The red-circled car wash only directly fronts one major road (N Main St). Its north boundary is a narrow service drive, not the adjacent Monroe St, which lies one lot to the north behind the Papa John’s building. There is no intersection of two wide public roads immediately adjacent to the car wash property—on the west is undeveloped land and on the south is the animal clinic—so it sits mid-block rather than on a corner."
"Dickys Decatur , 1022 S 13th St , Decatur , IN , 46733",40.818633,-84.939277,40.8186122,-84.9380879,Dicky's Express Car Wash - Decatur,Inside,"At all zoom levels the red-circled car wash sits mid-block along US-27 with no intersecting major road directly on its parcel. The nearest cross street (Bollman St/W 500 N) and the O’Reilly Auto Parts corner lot both lie south and north of the car wash, respectively. The car wash lot only fronts a single multi-lane highway and does not occupy or abut a two-road intersection, so it qualifies as an Inside Lot."
"Dickys Huntington , 2600 Walmart Dr , Huntington , IN , 46750",40.898213,-85.5135535,40.898213,-85.5135535,Dicky's Express Car Wash - Huntington,Inside,"At all zoom levels the car wash sits along Walmart Drive only, with its north and south lot edges bordering minor service drives into the Walmart parking lot and Monro Auto Service rather than a second wide thoroughfare. The nearest true major intersection (Walmart Drive & Walton Street/Jefferson Street) lies several hundred feet away, not directly adjacent to the circled lot. Because only one main road abuts the property and no two wide public roads meet at the site itself, it is an Inside Lot."
"Dog House Auto Spa , 731 W Rogers Blvd , Skiatook , OK , 74070",36.3682186,-96.0117013,36.3682186,-96.0117013,Dog House Auto Spa,Inside,"The red-circled car wash sits mid-block along E Hwy 20 between two cross streets (S Lombard Ln to the west and Cherry St to the east) rather than at their intersection. Only one side of the lot fronts the major highway, while the opposite side faces W 3rd St, a local residential street. There is no junction of two wide, major roads directly adjacent to the lot, so it does not meet the Corner Lot criteria."
"EXPRESS AUTO WASH , 7167 NY-54 , Bath , NY , 14810",42.3490756,-77.3089603,42.3490756,-77.3089603,Express Auto Wash,Inside,"Across all zoom levels, the Express Auto Wash parcel only directly abuts one major thoroughfare (State Route 54) and does not sit at the junction of two wide roads. Higher-resolution imagery shows only private driveways and parking-lot access on the other sides of the lot, with no true cross-street or secondary main road forming a corner. Therefore the car wash is mid-block on a single arterial and qualifies as an Inside Lot."
"Eastlake , 13509 Eastlake Blvd , El Paso , TX , 79928",31.6986017,-106.2213483,31.6988021,-106.2212217,Champion Xpress Carwash,Inside,"At all zoom levels the Champion Xpress Carwash parcel only fronts one major arterial (Eastlake Blvd). The adjacent pavement to its west is a narrow site access drive – not the broad, multi-lane Aiskew St intersection immediately to the west of the neighboring restaurant. There is no second public thoroughfare abutting the red-circled lot, and the car wash sits mid-block along Eastlake with vacant land to the east and south. Per the corner-lot definition (requires two wide, public roads meeting at the lot), this location is an Inside Lot."
"Edge Express Garner , 4717 NC-42 , Garner , NC , 27529",35.6108709,-78.5531604,35.6108709,-78.5531604,Edge Express Car Wash,Inside,"Although the car wash abuts Veterans Parkway (a major arterial), its other boundaries are formed by a private access road and service drives for the adjacent retail center rather than by a second main street. There is no intersection of two wide, public roads at the red-circled lot—only one arterial and internal circulation roads—so it does not occupy a corner of two major streets and is therefore an Inside Lot."
"Edge Express Shelby , 925 E Dixon Blvd , Shelby , NC , 28152",35.2744626,-81.5270426,35.2744626,-81.5270426,Edge Express Car Wash,Inside,"At all zoom levels the red-circled car wash sits mid-block along E Dixon Blvd (US-74) with only that single four-lane highway bordering its south side. To the east and west are private parking-lot aisles serving Goodwill and Chick-fil-A, not public arteries, and there is no intersecting major road directly adjacent to the lot. Those side drives are purely retail access ways, so the site does not occupy a true corner of two main roads and therefore qualifies as an Inside Lot."
"Edge Express Shelby 2 , 1696 E Dixon Blvd , Shelby , NC , 28152",35.2728672,-81.5051658,35.2728672,-81.5051658,Edge Express Car Wash,Inside,"Although the car wash sits adjacent to US-74 (Andrew Jackson Hwy), it is actually set back behind the highway’s median and accessed only via the parallel frontage road (E Dixon Blvd) and a small side street (County Home Rd). Neither of those two roads qualifies as a major through-street intersection. There is no corner formed by two wide, high-capacity roads abutting the lot. Instead, the facility lies mid-block along a service/frontage roadway and a minor local road, so it meets the criteria for an Inside Lot."
"Edgewood , 3 NM Hwy 344 , Edgewood , NM , 87015",35.1482669,-106.1914196,35.1482669,-106.1914196,,Inside,"Although the red-circled parcel sits where Araiza Road meets State Highway 344, only 344 is a true major thoroughfare. Araiza Road is a narrow, two-lane rural side road with no turn lanes, crosswalks, highway shields or multi-lane widths to indicate it’s a second ‘major’ road. The lot therefore fronts only one primary route (SR 344) and does not occupy a corner of two main roads, so it is an inside lot."
"Elks Edge , 547 CC Camp Rd , Elkin , NC , 28621",36.2787554,-80.8330241,36.2787554,-80.8330241,Elks Edge Express Wash,Inside,The car wash sits mid-block along one major road (CC Camp Rd) with no second major road intersecting immediately adjacent. On its other boundaries are small service drives and neighboring businesses (Starbucks and Taco Bell) rather than a true corner intersection of two wide public thoroughfares. Therefore it does not qualify as a corner lot.
"Espanola , 1319 N Riverside Dr , Espanola , NM , 87532",36.0111124,-106.0636052,36.011074,-106.0636444,Champion Xpress Carwash Española,Corner,"The car wash sits on the southwest quadrant of the intersection of two major roads—N Riverside Drive (a multi‐lane highway with median) to the west and Thornton Lane (a signed, through street with crosswalks and turn lanes) to the south. At both Zoom 17 and Zoom 19 we clearly see wide traffic lanes, turn arrows, crosswalk markings, and dual road frontages directly adjacent to the red-circled lot. Because it directly abuts two main roads forming a visible corner, it meets the criteria for a Corner Lot."
"Express Wash Kissimmee , 1095 Amber Pointe Blvd , Kissimmee , FL , 34744",28.280829,-81.344289,28.280824000000003,-81.344287,Express Wash on Irlo,Corner,"The red-circled car wash sits directly at the junction of two major thoroughfares – US-192 (a four-lane divided highway) along its south side and Amber Pointe Boulevard (multi-lane with turn arrows and sidewalks) on its east side. Both roads exhibit highway shields, wide travel lanes, dedicated turn bays and curb cuts serving the lot. The building occupies the visible corner where these two principal roads intersect, meeting all criteria for a Corner Lot."
"Express Wash Lakeland , 5430 Florida Ave S , Lakeland , FL , 33813",27.9665149,-81.9645933,27.9664838,-81.9645918,Express Wash on Florida,Inside,"All three zoom levels show the car wash sitting mid-block along Florida Ave S with no direct frontage on a second major road. The true intersection of Florida Ave S and School House Rd lies just north of the parcel, but the car wash lot is set back from that corner and only abuts a private service drive on its east side. There are curb cuts and driveways only on Florida Ave S and no two wide, intersecting public roads forming a corner at the red-circled property—so it qualifies as an Inside Lot."
"FASTLANE EXPRESS CAR WASH , 924 E 30th Ave , Hutchinson , KS , 67502",38.087,-97.9111,38.086999999999996,-97.91109999999999,Fastlane Express Car Wash,Inside,"All three zoom levels show the car wash sitting mid‐block between neighboring businesses, with only E 30th Avenue providing major‐road frontage. To the north it backs onto 30th Terrace, a narrow local/residential street, and on the east and west sides it abuts private drives or other lots rather than a second wide through‐road intersection. Because it only directly faces one principal roadway and does not occupy the corner of two major roads, it is classified as an inside lot."
"FLAVO_N.Hwy27 , 1101 US-27 , Avon Park , FL , 33825",27.608686,-81.515066,27.6099373,-81.5146443,El Car Wash - Avon Park,Corner,"The red-circled car wash sits directly at the intersection of two major multi-lane roads (US-27/98 running north–south and a wide east–west arterial). You can see turn-arrow markings and crosswalks on both streets, and the lot has curb cuts on both frontages. These features confirm it is located on a corner lot rather than mid-block on a single road."
"FLLAK_Hwy27 , 23461 US-27 , Lake Wales , FL , 33859",27.9519851,-81.6185727,27.951985099999998,-81.6185727,El Car Wash - Lake Wales,Inside,"The lot only abuts one true public arterial (US Hwy 27). The opposite side of the building faces a private mall entrance drive (Eagle Ridge Mall Ent), not a second major road. There is no intersection of two wide, publicly maintained roads directly at the red-circled parcel, so the car wash is situated mid-block on a single highway frontage rather than at a corner of two main roads."
"Fairborn Car Wash , 1052 Kauffman Ave , Fairborn , OH , 45324",39.8098171,-84.0258805,39.8098563,-84.0259426,Wash it Dean,Inside,"All three zoom levels show the car wash only fronting Kaufman Avenue (State Route 444) and not at the junction of two major roads. The lot’s west edge borders the Huffman Prairie Bikeway (a trail, not a vehicular arterial), and its east boundary meets only local residential streets, not a second wide roadway. There is no intersection of two major thoroughfares directly adjacent to the red-circled lot, so it is an Inside Lot."
"Fairhope , 20310 AL-181 , Fairhope , AL , 36532",30.521774,-87.8517334,30.521779900000002,-87.8515864,Mach-1 Express Wash Fairhope,Corner,"The red-circled car wash sits at the southeast corner of a clear intersection between two major roads: a multi-lane divided highway (Route 181) on its west side and the wide, signalized Fairhope Avenue on its north side. In the mid-zoom image you can see turn lanes, crosswalk markings, and highway shields on Route 181. In the close-up view the lot directly borders both of these main roads, forming a true corner lot rather than being mid-block or only fronting one road."
"Fast Pass Car Wash , 638 North H Street , Lompoc , CA , 93436",34.6486028,-120.4570624,34.6486028,-120.45706239999998,Fast Pass Car Wash Inc,Inside,"At all zoom levels the red-circled car wash sits mid-block on a private/service drive behind a larger strip of shops. Although the parent parcel fronts Highway 1 to the west and N G Street to the east, the car wash itself neither fronts nor sits at the corner of two public arterials. Its drive-through entry and exit face only the narrow internal access lane, and there is no intersection of two major roads adjacent to the red circle. Therefore it meets the definition of an Inside Lot."
"Fenton , 3709 Owen Rd , Fenton , MI , 48430",42.7891069,-83.7442545,42.7891069,-83.7442545,Drip Car Wash,Inside,"The car wash (Discount Tire) sits mid-block along Owen Road with only one side facing this major roadway. There is no intersection of two main roads directly adjacent to the red-circled lot – Silver Parkway is one building to the east, and the cross-street to the west is separated by another property. The southern boundary faces a narrow residential street, not a second wide thoroughfare. Because the lot is between intersections rather than at a corner of two major roads, it is classified as an Inside Lot."
"Fernandina Beach , 474339 SR 200 , Fernandina Beach , FL , 32034",30.61808,-81.514613,30.618154500000003,-81.5145721,LUV Car Wash,Inside,"Across all zoom levels the red-circled car wash sits mid-block along U.S. Highway 200 with no direct frontage on a second major road. The only other bordering pavement is the narrow private/service drive serving adjacent shops (West Marine, Caliber Collision, etc.), not a numbered/state road with multi-lane turn arrows. The true signalized intersection of Highway 200 and Duval/Pine Grove Road lies several hundred feet to the east of the lot. Because the lot only fronts one primary arterial and is separated from the nearest highway intersection by other parcels and a service drive, it meets the criteria of an Inside Lot."
"Fine N Shine , 1304 TX-121 , Bonham , TX , 75418",33.5867548,-96.1921253,33.5867548,-96.19212530000001,Fine 'N Shine Carwash,Corner,"This car wash sits directly at the intersection of two major roads – N Texas State Hwy 121 (a multi‐lane state highway) and W 13th St (a divided arterial). In all three zoom levels you can see wide pavement, lane markings, highway shields, and curb cuts facing both roads. Because the lot fronts and gains access from both of these primary streets, it clearly occupies a corner lot."
