Company Name,Car wash name,matches
,Sunshine / SasqWash Express,0
,Super 4 Season Car Wash,0
,Super Duck Hazel Green,0
,Super Duck Madison,0
,Super Duper,0
,Super Scrub Car Wash,0
,Super Splash Carwash,0
,Super Suds Carwash,0
,Superfine Lakewood,0
,Superior Flagship,0
,Superior Shine Car Wash,0
,Superior Texas Car Wash,0
,Swift Car Wash,0
,THOMAS CAR WASH,0
,TLC Car Wash,0
,TLC Car Wash 2,0
,TXAUS_Hwy290,0
,TXGRA_Hwy377,0
,TXNEW_Walton,0
,Tampa,0
,Taos,0
,Texas Car Wash,0
,Texas Pride Car Wash,0
,Texas Star Wash LLC,0
,The Auto Spa @ Main Street,0
,The Auto Spa @ University,0
,The Good Wash,0
,The Washery,0
,Thoroughbred Ashland,0
,Thoroughbred Bardstown,0
,Thoroughbred Bedford,0
,Thoroughbred Campbellsville,0
,Thoroughbred Charleston,0
,Thoroughbred Crosslanes,0
,Thoroughbred Danville,0
,Thoroughbred Glasgow,0
,Thoroughbred Hal-Greer,0
,Thoroughbred Hurricane,0
,Thoroughbred Lawrenceburg,0
,Thoroughbred Madison,0
,Thoroughbred Maysville,0
,Thoroughbred North Vernon,0
,Thoroughbred Pendleton,0
,Thoroughbred Russellville,0
,Thoroughbred Seymour,0
,Thoroughbred South Point,0
,Thoroughbred Teays,0
,Toledo,0
,Top Wash Clairmont,0
,Top Wash Peachtree,0
,Total Package Cape Coral,0
,Total Package Lakeland,0
,Touch u0026 Go CW,0
,Town Center,0
,Town Center Auto Wash,0
,Trident Express Car Wash,0
,Trident Express Carwash,0
,Tropicana,0
,Tru Car Wash,0
,TruShine #2 Abingdon,0
,TruShine #3 Johnson City(Boones Creek),0
,TruShine Bristol,0
,True Clean,0
,Trushine #4 Kingsport,0
,Trushine #5 Sevierville,0
,Trushine #6 Blountville,0
,Tsunami Gary,0
,Tsunami Grand Chute,0
,Tsunami Greenfield,0
,Tsunami La Porte,0
,Tsunami Menasha,0
,Tsunami Mt Pleasant,0
,Tsunami Oak Creek,0
,Tsunami Portage,0
,Tsunami Waukesha,0
,Turnpike Car Wash,0
,Twins Merritt Island,0
,U-DRIVE,0
,ULTIMATE CAR WASH,0
,ULTRA SHINE AUTO SPA,0
,UNIVERSITY,0
,US Car Wash,0
,Uncle Charlies #1,0
,Universe,0
,Urbandale,0
,V EXPRESS CAR WASH,0
,VENICE CAR WASH,0
,VICS CAR WASH,0
,VIPEXPRESSCARWASH.NET,0
,ValleyStream NY,0
,Valvoline Express Care,0
,Vancouver,0
,Varsity Carwash Duff,0
,Varsity Carwash Lincoln,0
,Velocity Car Wash,1
,Vibe Car Wash McKinney,0
,Vibe Car Wash Plano,0
,Vicu0027s Express,0
,Victory Car Wash,0
,Virginia Car Wash Co.,0
,Vision Car Wash,0
,Vista,0
,Vortex Car Wash,0
,WASHPOINTE AUTO WASH,0
,WASHWORKS EXPRESS,0
,WATER GAP CAR WASH,0
,WOW Car Wash,0
,WOW Car Wash Winder,0
,Warrior Way,0
,Wash 37055,0
,Wash 37062,0
,Wash 37135,0
,Wash Ashore Fairhaven,0
,Wash Ashore Plymouth,0
,Wash City Apopka,0
,Wash City Casselberry,0
,Wash City Semoran,0
,Wash City University,0
,Wash It Dean,0
,Wash N Go Calexico,0
,Wash N Go Car Wash,0
,Wash N Roll Antioch,0
,Wash N Roll Athens,0
,Wash N Roll Bellevue,0
,Wash N Roll Charpi,0
,Wash N Roll Melrose,0
,Wash Rack 95,0
,Wash Rite Bridgeport,0
,Wash Rite Logan,0
,Wash Rite Marietta,0
,Wash Rite Moundsville,0
,Wash Rite Murdoch,0
,Wash Rite Parkersburg,0
,Wash Rite Vienna,0
,Wash Rite Weirton,0
,Wash Rite Wintersville,0
,Wash Up Griffith,0
,Wash Up Hammond,0
,Wash Up Portage,0
,Wash Up Valparaiso,0
,Wash Wizard Ladson,0
,Wash Wizard Summerville,0
,Washbox Car Wash,0
,Waters Davenport,0
,Waters Deland,0
,Waters Haines City,0
,Waters Lakeland,0
,Waters Palm Springs,0
,Waters Stuart,0
,Waters Venice,0
,Waterways Car Spa,0
,Waterworks Express Car Wash,0
,Wave Auto Wash,0
,Waverly,0
,Waves Express Carwash,1
,Wayne Avenue,0
,Weber Wu0026L,0
,West Chester Car Wash,0
,West Little Rock - Chenal Pkwy,0
,West Memphis,0
,Wet Rabbit Lake Stevens,0
,Wet Rabbit Lakewood,0
,Wet Rabbit Marysville,0
,WetnJet Car Wash,0
,Whistle Express CW - Fredericksburg,0
,Whistle Express CaUniversity Boulevard,0
,Whistle Express Car Wash - Alachua,0
,Whistle Express Car Wash - Baxley,0
,Whistle Express Car Wash - Beaufort,0
,Whistle Express Car Wash - Bemiss,0
,Whistle Express Car Wash - Blanding,0
,Whistle Express Car Wash - Blue Ridge,0
,Whistle Express Car Wash - Callaway,0
,Whistle Express Car Wash - Cedar Hills,0
,Whistle Express Car Wash - Charleston,0
,Whistle Express Car Wash - Fairlawn,0
,Whistle Express Car Wash - Forest,0
,Whistle Express Car Wash - Gainesville,0
,Whistle Express Car Wash - Harriman,0
,Whistle Express Car Wash - Hazelhurst,0
,Whistle Express Car Wash - Jasper,0
,Whistle Express Car Wash - Leland,0
,Whistle Express Car Wash - Live Oak,0
,Whistle Express Car Wash - Louisburg,0
,Whistle Express Car Wash - Macedonia,0
,Whistle Express Car Wash - Magnolia Dr,0
,Whistle Express Car Wash - Mayport,0
,Whistle Express Car Wash - Melbourne,0
,Whistle Express Car Wash - Midlothian,0
,Whistle Express Car Wash - Monroe,0
,Whistle Express Car Wash - Mount Airy,0
,Whistle Express Car Wash - Murphy,0
,Whistle Express Car Wash - Orange Park,0
,Whistle Express Car Wash - P C,0
,Whistle Express Car Wash - PC Beach,0
,Whistle Express Car Wash - Pole Green,0
,Whistle Express Car Wash - Pooler,0
,Whistle Express Car Wash - Powhatan,0
,Whistle Express Car Wash - Racers Edge,0
,Whistle Express Car Wash - Ramsey,0
,Whistle Express Car Wash - Roxboro,0
,Whistle Express Car Wash - Skibo,0
,Whistle Express Car Wash - SouthPort,0
,Whistle Express Car Wash - Surfside,0
,Whistle Express Car Wash - Washington,0
,Whistle Express Car Wash - Wendover,0
,Whistle Express Car Wash - Westover,0
,Whistle Express Car Wash -Boll Weevil,0
,Whistle Express Car Wash Crawfordville,0
,Whistle Express Car WashChristiansburg,0
,Whistle Express Car WashHendersonville,0
,Whistle Express Car WashMilitary Trail,0
,Whistle Express Car WashNorth Valdosta,0
,Whistle Express Car WashPort Wentworth,0
,Whistle Wash Alliant,0
,Whistle Wash Conway,0
,Whistle Wash Eagles Landing,0
,Whistle Wash Myrtle Beach,0
,White Water CW,0
,Wicked Wash,0
,Willyu0027s Wash,0
,Wilmington,0
,Winchester,0
,Windsor Forest,0
,Winter Park,0
,Winter Street Haverhill,0
,Wolfrum,0
,Woodieu0027s 4th Street,0
,Woodieu0027s 66,0
,Woodieu0027s Ballantrae,0
,Woodieu0027s Bayshore,0
,Woodieu0027s Centerpoint,0
,Woodieu0027s Dale Mabry,0
,Woodieu0027s Gibsonton,0
,Woodieu0027s Lutz,0
,Woodieu0027s Nokomis,0
,Woodieu0027s Park Blvd,0
,Woodieu0027s Silver Palm,0
,Woodieu0027s Skyway,0
,Woodieu0027s Sun City,0
,Woodieu0027s Ulmerton,0
,Woodieu0027s W Gandy,0
,Wyoming,0
,XCell Auto Spa,0
,Xpress Car Wash,1
,Xtreme Car Wash,0
,Yamato Gas,0
,Yulee,0
,ZAKu0027s Car Wash,0
,Zelo Car Wash,0
,#21 WEISS GUYS EXPRESS,0
,#23 WEISS GUYS EXPRESS,0
,#67 WEISS GUYS EXPRESS,0
,#75 WEISS GUYS EXPRESS,0
,194 S. Broadway Lawrence,0
,67th Ave,0
,A Proper Wash,0
,ADAMu0027S GOLDSBORO CW,0
,AMERICAN CW,0
,AMERICAN CW LAYTON,0
,AMITY CAR WASH,0
,APRO,0
,AQUA EXPRESS ENID,0
,AQUA EXPRESS LAWTON,0
,AQUA EXPRESS NORTH MAY,0
,Aberdeen Car Wash,0
,Alexandria Ã¢â‚¬â€œ Viewpoint Drive,0
,Aqua Express Memorial,0
,Athens Ã¢â‚¬â€œ Westside,0
,Attalla,0
,Ayers,0
,BEACH HAND WASH,0
,BEE CLEAN CAR WASH 2,0
,BEE CLEAN CAR WASH 3,0
,BEE CLEAN CAR WASH 4,0
,BEE CLEAN CAR WASH 5,0
,BEE CLEAN CAR WASH 6,0
,BEE CLEAN CAR WASH 7,0
,BEE CLEAN CARWASH,0
,BIG KAHUNA,0
,BLUE DIAMOND AUTO SPA.,0
,BMS ALEXANDRIA,0
,BMS EXPRESS WASH,0
,BSCW,0
,Bellevue,0
,Bethlehem Ã¢â‚¬â€œ Parkway Pointe,0
,Big Danu0027s Car Wash,0
,Big Danu0027s Pembroke Park,0
,Black Diamond,0
,Blue Sky Car Wash,0
,Blue Sky Express,0
,Blue Water Express,0
,Bluffton Ã¢â‚¬â€œ Fording Island Road,0
,Bobby u0026 Steveu0027s Auto World,0
,Brevard Ã¢â‚¬â€œ Asheville Highway,0
,Bridgeville,0
,Broad Street,0
,Bubble Time Express Carwash,0
,CAR PRIDE AUTO SPA,0
,CLASSY CHASSIE CAR WASH,0
,CLEAN CAR EXPRESS,0
,CLEARWASH AIRPORT,0
,CONRAD CAR WASH,0
,COUGAR RIDGE,0
,CShack,0
,Cadillac Express #3 Kuykenahl Rd,0
,Campbell,0
,Car Wash On 5th,0
,Carmel Car Wash,0
,Carnation Auto Spa,1
,Champion CW - Antioch,0
,Champion CW - CHARPI,0
,Chattanooga (E Brainerd Rd),0
,Cherry Hill,0
,Colonial Car Wash,0
,Coraopolis,0
,Cornelia Ã¢â‚¬â€œ Highway 441,0
,Crew Carwash,1
,DAVIS EXPRESS WASH,0
,DR CAR WASH PLUS-PECAN GROVE,0
,DR CAR WASH PLUS-WESTHEIMER,0
,Dale Shine Alton Gloor,0
,Dale Shine Brownsville,0
,Dale Shine Chihuahua,0
,Dale Shine Edinburg,0
,Dale Shine Harlingen,0
,Dale Shine Laredo,0
,Dale Shine Laredo Hwy 83,0
,Dale Shine McAllen u0026 10th,0
,Dale Shine McAllen HWY 83,0
,Dale Shine Rio Grande,0
,Dale Shine San Benito,0
,Dale Shine Saunders,0
,Davenport (Lake Wilson Rd),0
,Davenport (US 27),0
,Diamond Auto Salon,0
,Dix Hills Car Wash,0
,Douglasville,0
,ENCINO AUTO SPA,0
,EVERGREEN CAR WASH,0
,EZ Car Wash,1
,East Ridge,0
,Eden,0
,El Car Wash- 021,0
,Erie,0
,Eugene Oil,0
,Evolution Car Wash,0
,Extreme Clean Auto Wash,0
,FHCWu0026D,0
,FL0209 North Lauderdale S State Rd 7,0
,FL0210 Fort Lauderdale W Sunrise Blvd,0
,FL0211 Homestead S. Dixie Hwy,0
,FL0212 Weebers Crossing,0
,FL0213 Atlantic Beach,0
,FL0214 Fleming Island,0
,FL0215 Kernan,0
,FL0216 San Jose,0
,FXN,0
,FXS,0
,Fast and Friendly Maricopa II,0
,Five Star Ramsey,0
,Five Star Skibo,0
,Five Star Wendover,0
,FoamWorks Fayetteville,0
,FoamWorks Stockbridge,0
,Full Throttle Car Wash,0
,GA0107 Cartersville Joe Frank Harris Pkwy,0
,GA0108 Summerville N. Commerce St.,0
,GERRINGS CAR WASH,0
,GO Car Wash,1
,GO Car Wash- 412 Rock Port,0
,GO Car Wash- 413 Market,0
,Gaffney,0
,Gamebird Pahrump Circle K,0
,Glasshouse Autospa,0
,Go Car Wash,1
,Goldsboro,0
,Greensboro Ã¢â‚¬â€œ Lake Oconee,0
,Griffin,0
,H2O Express Car Wash,0
,Hanover,0
,Hermitage,0
,Hero CarWash,0
,Heroes Car Wash,0
,HiTech SP,0
,Hixson (Lakesite),0
,Hixson (New Country Dr),0
,Hixson (TN-153),0
,Hurricane Bay Express,0
,Hydro Express Wash,0
,ISLAND AUTO WASH ON 61ST,0
,Infinity Hand Carwash,0
,Jets Car Wash and Detail,0
,KC Lodi,0
,KLEEN MACHINE,0
,Kent,0
,Kissimmee,0
,Koziol Car Wash,0
,Lakes Edge,0
,Landshark Express Wash u0026 Detail,0
,Laurens,0
,Lavelland,0
,Letu0027s Go Bixby,0
,Letu0027s Go Broken Arrow,0
,Letu0027s Go Car Wash 4,0
,Letu0027s Go Jenks,0
,Letu0027s Go Miami,0
,Letu0027s Go Rogers,0
,Letu0027s Go Shawnee,0
,Lexington,0
,Living Water - Aurora,0
,Living Water - Belmar,0
,Living Water - County Line,0
,Living Water - East Littleton,0
,Living Water - Littleton,0
,Living Water - Thornton,0
,Lonestar Suds Express Car Wash,0
,Loves Express II Car Wash,0
,MAGIC TOUCH CAR WASH,0
,MALL CAR WASH,0
,MIAMI CARWASH u0026 DET CENTER,0
,MR KLEAN CAR WASH,0
,MR SPEEDY CAR WASH,0
,MR. K CAR WASH,0
,Magic Barboursville,0
,Magic Belle,0
,Magic Circleville,0
,Magic Defiance,0
,Magic Gallipolis,0
,Magic Huntington,0
,Magic LaGrange,0
,Magic Piqua,0
,Magic Portsmouth,0
,Magic Sidney,0
,Magic Tiffin,0
,Magic Troy,0
,Magic Van Wert,0
,Magic Waverly,0
,Magic Wilmington,0
,Marietta,0
,McFarland,0
,Mechanicsburg,0
,Melrose,0
,Millville,0
,Minit Man Car Wash,0
,Mountain Edge,0
,Mr Clean Grayson,0
,Mr. Bu0027s Car Wash - Gardendale,0
,NMALA_S.WhiteSands,0
,NORTH ARLINGTON CAR WASH,0
,NORTHRIDGE AUTO SPA,0
,Nine Mile,0
,Nine Mile Rd,0
,OLD SUDS STOP DO NOT USE,0
,Oak Hill,0
,Oakleaf,0
,PINES EXPRESS CAR WASH,0
,PINKYu0027S KLASSY KAR WASH,0
,POPPu0027S EXPRESS CAR WASH,0
,Paradise Bay Express II,0
,Patriot Express,0
,Patriots Car Wash,0
,Plant City,0
,Pooler Express,0
,Port Charlotte,0
,Port Wentworth,0
,Pure Wash,0
,QUALITY CAR WASH,0
,Quick and Clean Car Wash,0
,Quick and Clean Car Wash Niceville,0
,Quick and Clean DeFuniak Springs,0
,Quick and Clean John Sims,0
,Quickly Clean Self Serve,0
,RAINBOW CAR WASH,0
,RHYNO CAR WASH,0
,ROBIN AUTO WASH,0
,ROCKET CAR WASH,0
,ROUND LAKE EXPRESS - TOPWASH.COM,0
,Racers,0
,Rainbow Car Wash,0
,Rapid Express Car Wash,0
,Richmond Ã¢â‚¬â€œ Lantern Ridge Road,0
,Rinse My Ride,0
,River Falls Car Wash,0
,River Rock Car Wash,0
,Rivers Edge,0
,Riverview,0
,Road Runner Car Wash,0
,Roanoke Rapids,0
,Rock Island Express,0
,Rocket Wash Cary,0
,Rocket Wash Conyers,0
,Rocket Wash Covington,0
,Rocket Wash Goldsboro,0
,Rocket Wash Lafayette (Luv CW Group),0
,Route 3 Car Wash,0
,S. Broadway Salem,0
,SANDUSKY CLEAN SCENE,0
,SCRUB A DUB CW,0
,SHINE CAR WASHES,0
,SHINE LINE EXPRESS,0
,SHOW PLACE,0
,SIERRA EXPRESS,0
,SPARKLE BRITE CAR WASH,0
,SPARKLE EXPRESS,0
,SPEEDY STRANG,0
,SPLASH CARWASH RP,0
,SPLASH CW LAN,0
,SQUEAKY CLEAN CW,0
,SUDS ON 83,0
,SUPER SHINE AUTO WASH,0
,SUPER SOAKER CARWASH,0
,Salisbury,0
,Sanford,0
,Scrub Hub,0
,Shine N Go Brunswick #2,0
,Shine Shack,0
,Shores Express Christiansburg,0
,Shores Express Leland,0
,Shores Express Radford,0
,Shores Express SouthPort,0
,Sicklerville,0
,Skyland,0
,Smittyu0027s Car Wash White Plains,0
,Snappy Kedzie Express Wash,0
,Soap City,0
,Soapies,0
,Some Guyu0027s Car Wash,0
,Southern Palms CW,0
,Splash N Shine,0
,Splash Zone Car Wash,0
,Statesboro Ã¢â‚¬â€œ Grady Johnson Road,0
,Station Auto Wash,0
,Sunnyu0027s Car Wash,0
,Sunrise Car Wash (old),0
,Super Shine Car Wash,0
,Superior Car Wash u0026 Detail,0
,Supershine,0
,Swish Car Wash,0
,Synergy Hand Wash,0
,TEJAS CAR WASH,0
,THE CLEAN MACHINE,0
,Take 5 Arvada,0
,Take 5 Car Wash #113,0
,Take 5 Car Wash #114,0
,Take 5 Car Wash #115,0
,Take 5 Car Wash #452,0
,Take 5 Car Wash #466,0
,Take 5 Car Wash #662,0
,Take 5 Car Wash #686,0
,Take 5 Muskogee,0
,The Carwash Company #2,0
,The Carwash Company W Broadway,0
,Thomasville,0
,Tidal Wave Muskogee,0
,Tiki Express Car Wash,0
,Twins Blue Ridge,0
,Twins Car Wash,0
,Twins Car Wash FL,0
,Twins Murphy,0
,ULTIMATE CW (NORTH COUNTRY CLUB),0
,University Park Auto SPA,0
,Utah Valley CW - Inbay,0
,Utah Valley Car Wash,0
,Utah Valley Lube,0
,VALLEY CAR WASH,0
,Valley CW #1,0
,W4 Savannah - Thunderbolt,0
,WASH u0026 SHINE CAR WASH,0
,WET RHINO TRUCK WASH,0
,Wash City Avon Park,0
,Wash City Kissimmee,0
,Wash City Lake Nona,0
,Wash City Lake Wales,0
,Wash City Oviedo,0
,Wash City Winter Garden,0
,Wash Guys,0
,Wash N Go,0
,Wash N Go AZ,0
,Wash N Go Central Point,0
,Wash N Go Medford,0
,Wash N Go White City,0
,Wash Pros,0
,Wash X,0
,WashandGo Kissimmee,0
,Washington,0
,Weber Dealership,0
,White Water Express,0
,Wilkins,0
,Winston-Salem,0
,Winter St,0
,Youngstown (Belmont Ave),0
,Youngstown (Boardman Poland Rd),0
,Youngstown (Mahoning Ave),0
,Zips Car Wash,0
,Zips Car Wash,0
,Zips Express Car Wash,0
,Zoom Car Wash,0
