original_name_address,original_latitude,original_longitude,found_car_wash_name,distance_miles,google_rating,google_user_rating_count,found_in_competitor_list,keyword_classification,keyword_classification_explanation,place_images_count,satellite_image_filename,image_classification,image_classification_justification,is_competitor
"ClearWater - Tamina , 7424 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2213547,-95.5821994,H-E-B Soft Touch Car Wash,0.125456057557342,2.4,7,False,Competitor,"The business name includes ""Soft Touch"", which indicates an automated, full-service wash.",,,,,True
"ClearWater - Tamina , 7424 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2213547,-95.5821994,H-E-B Fuel,0.126990906257469,4.5,119,False,Can't say,"The input ""H-E-B Fuel"" does not contain any specific keywords for Competitor or Not a Competitor car wash types. It also does not contain the 'Can't Say' keywords 'Lube' or 'Auto', but as a generic fuel provider name, it cannot be classified as a car wash business based on the provided criteria.",1,ChIJRXWxAosvR4YRrT-UN1HgoCg.jpg,Not a Competitor,"The provided images do show a structure commonly associated with automated car washes, but there is insufficient detail to confirm it is an Express Tunnel Car Wash competitor. There is no clear evidence of automated cleaning equipment or a conveyor system visibly present inside the structure. Additionally, the branding seen focuses on fuel services ('H-E-B Fuel'), which implies this may not primarily operate as an express car wash. More detailed images showing the tunnel's interior and operations are required for sufficient classification.",False
"ClearWater - Tamina , 7424 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2213547,-95.5821994,Royal Auto Detailing,0.24237458738373,5,127,False,Not a Competitor,"The business is classified as 'Not a Competitor' because it contains the keyword 'Detailing', which indicates a focus on traditional or niche services.",,,,,False
"ClearWater - Tamina , 7424 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2213547,-95.5821994,Ultra Mobile Detailing,0.677578671993413,5,361,False,Not a Competitor,"The business is classified as 'Not a Competitor' because it contains the keywords ""Mobile"" and ""Detailing"".",,,,,False
"ClearWater - Tamina , 7424 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2213547,-95.5821994,Quick Quack Car Wash,0.70987865286616,4.7,1632,True,,,,,,,True
"ClearWater - Tamina , 7424 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2213547,-95.5821994,BlueWave Express Car Wash,0.89610624353418,4.5,629,True,,,,,,,True
"ClearWater - Tamina , 7424 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2213547,-95.5821994,"Rich's Car Wash - Magnolia, TX",0.983986199628502,4.3,38,False,Can't say,"The business name ""Rich's Car Wash"" is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor based on the provided criteria.",10,ChIJ6QwX8qwvR4YRqfeMqXlXVUI.jpg,Competitor,"The images provided show a tunnel structure for car washing, as evidenced by the facility labeled 'Rich's Car Wash' with a clearly visible entry and exit for vehicles, suitable for a drive-through experience. Additional cleaning and automated equipment used inside the tunnel are indicated by the facility design. The images also reveal covered self-serve vacuum stations nearby. Such features correspond to an Express Tunnel Car Wash model.",True
"ClearWater - Terrell , 250 Crossroads Pkwy , Terrell , TX , 75160",32.7175697,-96.3216903,Terrell Express Car Wash,0.721424278854222,4,112,False,Competitor,"The business is classified as a Competitor because it contains the keyword ""Express"".",,,,,True
"ClearWater - Terrell , 250 Crossroads Pkwy , Terrell , TX , 75160",32.7175697,-96.3216903,Delwyn Investments,0.721424278854222,4.3,3,False,Can't say,"The input 'Delwyn Investments' is generic and does not contain any keywords related to car wash services (competitor, non-competitor, or 'Can't Say' specific terms like 'Lube' or 'Auto'), making it impossible to classify based on the provided criteria.",3,ChIJqezJrg9OSYYR6WDCNVwc0g0.jpg,Not a Competitor,"The provided images do not show sufficient evidence of an express tunnel car wash system. While the aerial image shows the location of 'Terrell Express Car Wash,' it does not indicate the presence of a tunnel structure with a minimum length of 34 feet. Also, there is no visible automated cleaning equipment, conveyor system, or clear signage indicating 'Enter' and 'Exit' for a tunnel wash. The images of the vehicle appear to depict a vacuum station but lack any connection to a tunnel experience or automated exterior cleaning process as required for classification as a competitor.",False
"ClearWater - Westgreen , 1225 Westgreen Blvd , Katy , TX , 77450",29.7865672,-95.7361874,Extreme Auto Spa,0.801695396995174,,,False,Can't say,"The business name contains the keyword ""Auto"", which falls under the ""Can't say"" category.",,ChIJjTs6R97ZQIYRhyQ-DRKwbQo.jpg,Not a Competitor,"The image does not clearly show any tunnel structure or equipment characteristic of an express tunnel car wash. There is no visible entrance or exit indicative of a conveyorized wash system, nor any automated cleaning equipment. Based on the available data, this location does not appear to meet the criteria for an express tunnel car wash competitor.",False
"ClearWater - Westgreen , 1225 Westgreen Blvd , Katy , TX , 77450",29.7865672,-95.7361874,Timewise Soft Touch Car Wash,0.997210394920919,4,19,False,Competitor,"The term ""Soft Touch"" indicates an automated washing process, aligning with the characteristics of a Competitor.",,,,,True
"ClearWater - Westgreen , 1225 Westgreen Blvd , Katy , TX , 77450",29.7865672,-95.7361874,Shell,0.997767384096754,3.5,57,False,Can't say,"The input ""Shell"" is a generic name and does not contain enough specific keywords to classify it as a competitor or not a competitor based on the provided criteria.",10,ChIJSWLb3xQnQYYRx1o8K0SnvYs.jpg,Not a Competitor,"The provided images primarily show a Shell gas station and a Timewise convenience store. There is no visible tunnel structure typical of an express tunnel car wash on the property. There are no entrances or exits labeled for a car wash tunnel, no automated cleaning equipment, no conveyor system, and no indication of a drive-through car wash experience. Additionally, there is no branding or signage indicating a car wash service. This location likely serves as a gas station and convenience store rather than a competitor express tunnel car wash.",False
"ClearWater - Willis East , 111 Holland St , Willis , TX , 77378",30.4229852,-95.4861172,HEB WASH,0.269707393997934,2,4,False,Can't say,The input 'HEB WASH' is too generic and does not contain specific keywords to classify it as 'Competitor' or 'Not a Competitor'.,,ChIJM5OHGxsWR4YR2RTnoN2cxqI.jpg,Competitor,"The image shows a tunnel structure where cars appear to enter and exit in a straight line, satisfying the criteria for an express tunnel car wash. The tunnel seems adequately large for automated equipment. Additionally, the setup of the car wash indicates a drive-through experience as there are no signs of manual cleaning or interior services visible in this image.",True
"ClearWater - Willis East , 111 Holland St , Willis , TX , 77378",30.4229852,-95.4861172,H-E-B Fuel,0.29470972525287,4.6,30,False,Can't say,"The input ""H-E-B Fuel"" does not contain any specific keywords to classify it as a competitor or not a competitor, and it is a generic name that does not clearly indicate a car wash business type.",10,ChIJq-cePKsXR4YRUX21gg0Gquk.jpg,Not a Competitor,"The provided images show a large building that might resemble a car wash structure, but crucial features of an express tunnel car wash are not evident. There are no visible entry or exit arches for cars, nor any automated equipment such as rollers, brushes, conveyor systems, or overhead sprayers. Additionally, although the H-E-B gas station and general store signage are present, there is no clear indication of specific car wash branding or services that align with express tunnel criteria. Other unrelated features like payphones and restrooms are shown but do not pertain to identifying an express tunnel car wash. Without evidence of a functional automated tunnel system, this location cannot be classified as a competitor.",False
"ClearWater - Willis East , 111 Holland St , Willis , TX , 77378",30.4229852,-95.4861172,Spotfree Carwash,0.411485776155367,3.9,18,False,Can't say,"The business name ""Spotfree Carwash"" is generic and does not contain specific keywords like ""Express"", ""Hand Wash"", or ""Lube"" to classify it as a Competitor or Not a Competitor based on the provided criteria.",1,ChIJUcJAdwgWR4YRFCLxuYLknT8.jpg,Not a Competitor,"The location does not appear to have a tunnel structure with entry and exit arches or doors, nor automated cleaning equipment visible inside a tunnel. Instead, it shows a small building and a fenced-off area with manual cleaning-like setups inside. There is no indication of a conveyor system, automated express washing, or branding suggesting an express tunnel model. The signage mentions 'Spot Free Car Wash,' which does not explicitly indicate express tunnel services.",False
"ClearWater - Willis East , 111 Holland St , Willis , TX , 77378",30.4229852,-95.4861172,ClearWater Express Wash,0.59822774457683,4.9,288,True,,,,,,,True
"ClearWater - Woodforest , 768 Fish Creek Thoroughfare , Montgomery , TX , 77316",30.2760842,-95.5691024,Star Stop Car Wash,0.512948049577426,,,False,Can't say,"The business name 'Star Stop Car Wash' is generic and does not contain specific keywords like 'Express', 'Hand Wash', 'Self Serve', or 'Detailing' to classify it as a Competitor or Not a Competitor.",,ChIJhUWYHQ8lR4YRWpftkPeh86c.jpg,Not a Competitor,"The image shows a convenience store and its surrounding area, but there is no clear evidence of a tunnel structure or entrance/exit arches dedicated for a car wash. Additionally, there are no visible automated washing equipment, conveyor systems, or branding indicative of an express tunnel car wash.",False
"ClearWater - Woodforest , 768 Fish Creek Thoroughfare , Montgomery , TX , 77316",30.2760842,-95.5691024,ClearWater Express Wash,0.533032907289441,4.9,657,True,,,,,,,True
"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",45.0606433,-83.4526433,Car Wash,0.864731347540686,,,False,Can't say,The input '{{Car Wash}}' is a placeholder and does not contain enough information to classify.,,ChIJM6uYdStcM00RyNXWj7gGzZQ.jpg,Not a Competitor,"The image does not clearly show a tunnel structure typical of an express tunnel car wash. There is no visible indication of entry/exit arches or automated cleaning equipment like brushes or sprayers. The location appears to be a small facility with no evident conveyor system or significant signage that would identify it as an express tunnel car wash. Furthermore, the layout does not suggest a tunnel system of at least 34 feet in length.",False
"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",45.0606433,-83.4526433,bp,0.869709935296367,4.3,12,False,Can't say,The input '{{bp}}' is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor.,5,ChIJ2d-6nitcM00RYOWcJAAlRvc.jpg,Not a Competitor,"The images provided do not show a car wash tunnel structure or any automated express car wash system. The visible features include a gas station setup with pumps and associated branding, but there is no indication of an express tunnel car wash meeting the criteria such as entry/exit arches, interior automated equipment, or conveyor systems. Without these essential tunnel features, it cannot be classified as a competitor.",False
"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",45.0606433,-83.4526433,Alpena EZ Mart,0.870084733863086,4.8,4,False,Can't say,"The business name ""Alpena EZ Mart"" is generic and does not contain keywords to classify it as a Competitor or Not a Competitor.",1,ChIJid-6nitcM00Rk9i9UCTJW4A.jpg,Not a Competitor,"The images provided do not show a tunnel structure necessary for an express tunnel car wash. There is no visible long, narrow building with entry and exit arches or doors, equipment like brushes or sprayers, or any indication of a conveyor system in use. Instead, the images display a gas station with an attached convenience mart. There are no signs or branding suggesting an express tunnel car wash operation.",False
"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",45.0606433,-83.4526433,State Street Auto Wash,0.927790993158278,4.4,172,False,Can't say,"The business name contains the keyword ""Auto"", which falls under the ""Can't say"" classification criteria.",8,ChIJB1sVYBtcM00R8WK4r-e8xdA.jpg,Competitor,"The last image provided depicts a car undergoing an automated wash process with soap and water, indicative of an express tunnel system where the cleaning is done with automated equipment. This is a key feature of express tunnel car washes. While other images provided are unrelated to car wash indicators, this image confirms the location as meeting the criteria for a Competitor Express Tunnel Car Wash.",True
"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",45.0606433,-83.4526433,Vintage Auto Wash,0.951894620536051,4.2,114,False,Can't say,"The term 'Auto' is present, which is a generic keyword indicating 'Can't say' as per the classification logic.",6,ChIJlXRJ3SpcM00Rblh8gQUBMLc.jpg,Not a Competitor,"The images depict a car wash location with individual bays for manual or self-service washing. There is no evident tunnel structure with a conveyor system nor automated equipment setups commonly found in express tunnel car washes. The presence of manual cleaning equipment, open entrances, and human-assisted cleaning indicates it is not an express tunnel model.",False
"Clearview Car Wash State Street , 105 Mason St , Alpena , MI , 49707",45.0475512,-83.4484188,Ripley Car Wash,0.92417562150659,4.5,238,False,Can't say,"The input ""Ripley Car Wash"" is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor.",10,ChIJY8eJMh5cM00RExGyia-3NFU.jpg,Competitor,"The images display a tunnel structure with automated equipment clearly visible inside, including sprayers and brushes actively cleaning the exterior of vehicles without manual intervention. The presence of a conveyor system, guiding vehicles through cleaning stages, strongly indicates an express car wash model. Signage explicitly references ""Express"" services, which aligns with express tunnel wash criteria. Additionally, adjacent vacuum stations further support the express tunnel car wash classification. All criteria are met for classification as a competitor.",True
"Clearview Car Wash State Street , 105 Mason St , Alpena , MI , 49707",45.0475512,-83.4484188,Car Wash,0.9941015788237,5,1,False,Can't say,"The name ""Car Wash"" is too generic and lacks specific keywords to classify it as a competitor or not a competitor.",,ChIJB2JSxaxeM00R29UmHY33DTU.jpg,Not a Competitor,"The image shows a small building labeled 'Car Wash,' but does not display a clear tunnel structure with entry and exit arches or doors. There is no evident conveyor system, automated equipment visible inside, or features indicative of an express tunnel car wash. The building does not appear long enough to house a tunnel system of at least 34 feet, and the wash process cannot be confirmed as automated.",False
"Cliffu0027s Car Wash #2 , 3690 Riverdale Rd , Ogden , UT , 84405",41.1963292,-111.9745049,JER Detail,0.201939196548266,4.2,71,False,Not a Competitor,"The business is classified as 'Not a Competitor' because it contains the keyword 'Detail', indicating a traditional or niche service provider.",,,,,False
"Cliffu0027s Car Wash #2 , 3690 Riverdale Rd , Ogden , UT , 84405",41.1963292,-111.9745049,Young Car Wash,0.424268584659915,4.5,50,False,Can't say,The input 'Young Car Wash' is generic and does not contain specific keywords to classify it as 'Competitor' or 'Not a Competitor'.,9,ChIJ82jKTRQPU4cRGxtNIDXdf2I.jpg,Competitor,"The images show clear indicators of an Express Tunnel Car Wash. There is a long tunnel structure visible, with definite entry and exit doors labeled accordingly. Cleaning equipment, such as sprayers and brushes, can be observed inside the tunnel. The exterior cleaning is automated, and vehicles seem to enter and exit the tunnel in a straight line. The branding and signage prominently display 'Young Car Wash,' aligning with the express model. Furthermore, nearby self-serve vacuum stations appear, which is common for express tunnel car wash services. All criteria for classification as a competitor are met.",True
"Cliffu0027s Car Wash , 3536 W 4800 S , Roy , UT , 84067",41.1768773,-112.0653939,Cliff's Self Service Wash,0.0225114143399004,4.4,89,False,Not a Competitor,"The business is classified as 'Not a Competitor' because it contains the keyword 'Self Service', which indicates a customer-operated wash.",,,,,False
"Cliffu0027s Car Wash , 3536 W 4800 S , Roy , UT , 84067",41.1768773,-112.0653939,Phillips 66,0.0400453203177027,4.2,238,False,Can't say,The input 'Phillips 66' is a generic name for a gas station brand and does not contain specific keywords to classify it as a Competitor or Not a Competitor car wash business.,5,ChIJlwvuuxYQU4cRXz3XF1CB74I.jpg,Competitor,"The car wash location shows a visible tunnel structure labeled ""Car Wash"". The images suggest that cars enter and exit in a straight line, typical of an express tunnel system. Although interior photos of the tunnel equipment were not provided, the setup of the facility and its spatial orientation resemble a conveyor-based, automated exterior wash system. Additionally, vehicles are shown lining up for service, indicating a drive-through experience where customers remain in their cars. The car wash is adjacent to a convenience store, which is common for many express car washes.",True
"Cliffu0027s Car Wash , 3536 W 4800 S , Roy , UT , 84067",41.1768773,-112.0653939,Holiday,0.95234630424255,3.8,22,False,Can't say,The input 'Holiday' is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor.,,ChIJueL2hDgRU4cRka25MIio4Jw.jpg,Not a Competitor,"The image provided shows an aerial view of the location, including a 'Holiday Oil' establishment. However, no tunnel structure for an express car wash is visible. There are no clear signs of entrance/exit arches, conveyor system, or automated cleaning equipment, which are critical indicators for classification as an Express Tunnel Car Wash competitor.",False
"Coastline Express , 4447 Main St , Shallotte , NC , 28470",33.984025,-78.3666889,Shallotte Auto Spa,0.334397935054353,2.2,6,False,Can't say,"The term ""Auto"" is present in the business name, which defaults to 'Can't Say' based on the classification rules.",3,ChIJIS9QdgB1qokRa0AIYTiKvzU.jpg,Not a Competitor,"The location shown does not have an express tunnel structure. The images depict a small, open self-service wash bay rather than a long, narrow automated tunnel system. Features such as entry/exit arches, conveyor, or automated exterior cleaning equipment are not visible. Additionally, signage indicates self-service wash and vacuums, which do not align with an express tunnel model. Hence, this is not classified as a competitor.",False
"Coastline Express , 4447 Main St , Shallotte , NC , 28470",33.984025,-78.3666889,Coastal Carolina Car Wash,0.757504056202603,3.3,39,False,Can't say,"The business name ""Coastal Carolina Car Wash"" is generic and does not contain specific keywords to classify it as a 'Competitor' or 'Not a Competitor'.",1,ChIJtXDk2ph1qokRHjyPLyfcjYg.jpg,Not a Competitor,"Based on the provided images, the car wash location does not appear to have an express tunnel structure. The aerial view shows no clear indication of a long, narrow tunnel structure or visible equipment such as entry/exit arches, conveyor systems, or automated cleaning equipment. The ground-level image does not provide any clues relevant to evaluating the tunnel requirements. Without visible features of a tunnel system or associated signage, this car wash cannot be classified as a competitor.",False
"Collins , 7780 Blanding Blvd , Jacksonville , FL , 32244",30.2059536,-81.7402427,Sam's Club Car Wash,0.615869042341141,,,False,Can't say,"The input ""Sam's Club Car Wash"" is generic and does not contain specific keywords to classify it as 'Competitor' or 'Not a Competitor'.",,ChIJRaRx39LH5YgRKgr6juvxbVc.jpg,Competitor,"The visible structure aligns with the express tunnel car wash criteria: it appears to be a long and narrow building, which is indicative of a tunnel wash system. The 'Sam's Club Car Wash' name labels the entrance, and vehicle pathways suggest an entrance and exit for a drive-through experience. While equipment details are not visible in this image, it's common for such facilities to feature automated systems based on the branding and structure layout.",True
"Collins , 7780 Blanding Blvd , Jacksonville , FL , 32244",30.2059536,-81.7402427,Sam's Club Gas Station,0.66062181164538,4.3,780,False,Can't say,"The input ""Sam's Club Gas Station"" is generic and does not contain any specific keywords to classify it as a 'Competitor' or 'Not a Competitor' car wash business.",10,ChIJ4dn9ao3G5YgRso3tb9ar76w.jpg,Not a Competitor,"The provided images primarily depict a gas station affiliated with Sam's Club. There is no evidence of a car wash tunnel structure, automated express wash system, or cleaning equipment normally associated with express tunnel car washes. Instead, the focus is on gas pumps and vehicle fueling areas. Therefore, this location does not meet the criteria to be classified as an Express Tunnel Car Wash competitor.",False
"Colonial Express , 11021 Colonial Blvd , Fort Myers , FL , 33913",26.6163409,-81.773508,Tommy's Express® Car Wash,0.462779834978216,4,624,True,,,,,,,True
"Colonial Express , 11021 Colonial Blvd , Fort Myers , FL , 33913",26.6163409,-81.773508,CAR WASH,0.52777432518467,,,False,Can't say,"The input ""{{CAR WASH}}"" is a generic placeholder and does not contain any specific keywords for classification.",,ChIJXewvgGVs24gRTspuBQHy_P0.jpg,Not a Competitor,"The image shows a small structure labeled as 'Car Wash,' but it lacks indications of a long tunnel structure required for an express tunnel car wash. There are no visible entry/exit arches or doors, and there is no evidence of automated equipment such as rollers, brushes, or overhead sprayers inside. It appears to be a basic car wash setup, possibly manual or self-service, and not an express automated tunnel system. Additionally, conveyor tracks or systems are not visible, and there are no rows of self-serve vacuums nearby.",False
"Columbus , 3498 Victory Dr , Columbus , GA , 31903",32.4236872,-84.9480396,Los Amigos Carwash & food,0.36881918948895,4.5,50,False,Can't say,"The input ""Los Amigos Carwash & food"" does not contain specific keywords like ""Express"", ""Tunnel"", ""Self Serve"", or ""Hand Wash"" to classify it as a Competitor or Not a Competitor. The name is generic regarding the wash type.",10,ChIJhfTyB53TjIgRVGGDlOD5VDM.jpg,Not a Competitor,"The provided images primarily showcase food from a restaurant serving Mexican cuisine and a menu listing car wash options. However, no images demonstrate a tunnel structure or automated express car wash equipment, which are required criteria for classification as a competitor. The exterior photo does not show any tunnel structure or conveyor system indicative of an express car wash. The visible details lack any tunnels or automated systems, making it unclear if the location operates an express tunnel car wash.",False
"Complete Auto Detail , 1516 W 5th St , Austin , TX , 78703",30.2738181,-97.7628712,Barton Springs Car Wash,0.9564807462277,3.7,409,False,Can't say,"The business name ""Barton Springs Car Wash"" is generic and does not contain specific keywords like ""Express"", ""Hand Wash"", ""Self Serve"", ""Detailing"", ""Lube"", or ""Auto"" to classify it as a Competitor or Not a Competitor based on the provided criteria.",10,ChIJ8bSInRm1RIYRlSezTmwr5sk.jpg,Not a Competitor,"Analysis of the provided images does not show any tunnel structure indicative of an express tunnel car wash. Additionally, no conveyor system or automated wash equipment is visible, nor are there clear entry and exit arches for a tunnel wash system. The car wash appears to focus on exterior detailing and hand cleaning under covered areas rather than an automated tunnel-based cleaning process.",False
"Conway - Old Morrilton Hwy , 1505 Old Morrilton Hwy , Conway , AR , 72032",35.1113002,-92.4448947,On the Run,0.721495275584396,2.7,20,False,Can't say,"The business name ""On the Run"" is generic and does not contain any specific keywords to classify it as a 'Competitor' or 'Not a Competitor'.",10,ChIJ4zx_O42B0ocRlY9BRq6OH0o.jpg,Not a Competitor,"The provided images primarily show an interior setup consistent with a convenience store (snack counters, beverage stations, store merchandise, and beer displays) associated with a gas station. There is no visible evidence of a car wash tunnel structure, conveyor system, or drive-through automated washing equipment in the images provided, which are essential criteria to classify the location as an Express Tunnel Car Wash competitor. Additionally, the outside view of the structure does not show features indicative of an express tunnel system but rather a traditional gas station/convenience store layout. Without a visible tunnel system, this location does not qualify as a competitor.",False
"Cool Clean Car Wash , 1255 W Palmetto Park Rd , Boca Raton , FL , 33486",26.3514227,-80.1112943,Professional Car and Carpet Cleaning,0.691270909552434,3,2,False,Not a Competitor,"The phrase ""Carpet Cleaning"" indicates a specialized cleaning service, which is not an automated or full-service drive-through car wash.",,,,,False
"Copper Gate , Copper Gate Drive , Middleburg , FL , 32068",30.1070223,-81.8242866,Speedy Wash,0.882352938331918,,,False,Competitor,"The term ""Speedy"" indicates a fast or automated car wash, classifying it as a Competitor.",,,,,True
"Coral Springs Car Wash , 10610 Wiles Rd , Coral Springs , FL , 33076",26.2867203,-80.2679959,My Car Spa Mobile detailing,0.158074964850944,3,2,False,Not a Competitor,"The business is classified as 'Not a Competitor' because it contains keywords such as 'Mobile' and 'detailing', which indicate a focus on non-automated or niche services.",,,,,False
"Coral Springs Car Wash , 10610 Wiles Rd , Coral Springs , FL , 33076",26.2867203,-80.2679959,Car Wash Palace,0.950376498607413,4,496,False,Can't say,"The business name ""Car Wash Palace"" is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor.",10,ChIJWd7ywwUQ2YgR3io7FaFOudM.jpg,Not a Competitor,"The car wash location visible in the images does not appear to feature an express tunnel system. While there are washing facilities and services provided, the absence of a long, narrow structure for cars to pass through automatically disqualifies it as a tunnel car wash competitor. Images show manual cleaning activities and no clear indication of a conveyor system for automated exterior cleaning. Additionally, branding includes terms like 'Full Service,' which suggests a focus on interior and manual cleans rather than the express tunnel model. This location does not meet the requirements of the criteria established for classification as a competitor.",False
"Coralville , 800 2nd St , Coralville , IA , 52241",41.6716563,-91.5754899,AMT Detailing,0.846176846870781,5,9,False,Not a Competitor,"The business name 'AMT Detailing' contains the keyword 'Detailing', which indicates it is 'Not a Competitor' as it emphasizes specialized services rather than automated washes.",,,,,False
"Corinth , 2210 S Harper Rd , Corinth , MS , 38834",34.9120866,-88.5034177,South Parkway Car Wash,0.203816867849429,3.4,35,False,Can't say,"The business name ""South Parkway Car Wash"" is generic and does not contain any specific keywords to classify it as 'Competitor' or 'Not a Competitor'.",1,ChIJddo7fBfBfYgR5svVURRXJhU.jpg,Not a Competitor,"The images do not clearly depict a tunnel structure required for an express car wash competitor. The first image shows a small building but lacks clear signs of a long tunnel and conveyor system. The second image displays vacuum equipment but does not provide evidence of an automated express tunnel wash system. Missing critical indicators include entrance/exit arches, visible cleaning equipment inside a tunnel, and a confirmed conveyor system.",False
"Corinth , 2210 S Harper Rd , Corinth , MS , 38834",34.9120866,-88.5034177,Take 5 Car Wash,0.205410283800214,4.7,650,False,Can't say,The input 'Take 5 Car Wash' is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor.,10,ChIJ_zwORSrBfYgRk4NulNBxnE4.jpg,Competitor,"The provided images clearly depict an express tunnel car wash with automated systems. Firstly, the establishment has a tunnel structure visible both externally and internally, with cleaning equipment such as overhead sprayers, brushes, and rollers seen in operation alongside foam application. The tunnel includes clear signage stating 'Take 5 Car Wash,' and there are entrance and exit arches with instructions to keep the car in neutral, indicating a conveyor system. Customers stay inside their vehicles during the wash process, fulfilling the criteria for a drive-through experience. Additionally, 'Express' is prominently featured in the branding and signage, further solidifying the classification as an express tunnel competitor.",True
"Corinth , 2210 S Harper Rd , Corinth , MS , 38834",34.9120866,-88.5034177,Car Wash USA Express,0.206426403932961,,,False,Competitor,"The business name contains 'Express', indicating an automated, full-service, or drive-through-style wash, which classifies it as a Competitor.",,,,,True
"Corinth , 2210 S Harper Rd , Corinth , MS , 38834",34.9120866,-88.5034177,Wash Town - Express Car Wash,0.206426403932961,3.9,99,False,Competitor,"The business name contains 'Express', indicating it is an automated, full-service, or drive-through-style wash.",,,,,True
"Costa Verde , 8505 Costa Verde Blvd , San Diego , CA , 92122",32.8670133,-117.2158789,Metro Detailing Specialists,0.630681984127221,4,1,False,Not a Competitor,"The business is classified as 'Not a Competitor' because it contains the keyword 'Detailing', indicating a focus on niche or traditional services rather than automated car washes.",,,,,False
"Costa Verde , 8505 Costa Verde Blvd , San Diego , CA , 92122",32.8670133,-117.2158789,TopShine Mobile Detailing,0.71412356953744,4.9,141,False,Not a Competitor,"The business name contains ""Mobile"" and ""Detailing"", which are keywords for 'Not a Competitor' businesses.",,,,,False
"Cranston Car Wash , 1405 Cranston Rd , Beloit , WI , 53511",42.5326596,-89.0211818,B & C HAND WASH,0.476737172383167,,,False,Not a Competitor,"The term 'HAND WASH' indicates a manual service, classifying it as 'Not a Competitor'.",,,,,False
"Cranston Car Wash , 1405 Cranston Rd , Beloit , WI , 53511",42.5326596,-89.0211818,Super Wash,0.77540881031191,3.7,106,False,Competitor,"The term ""Super"" in ""Super Wash"" implies a fast, efficient, or comprehensive automated car wash experience, aligning with synonyms for 'Express' or 'Quick Wash'.",,,,,True
"Crown America , 5450 South St , Lakewood , CA , 90712",33.8599152,-118.1262913,Touchless Car Wash | 76,0.911575937831241,4.1,41,False,Competitor,"The term ""Touchless"" indicates an automated car wash service, classifying it as a Competitor.",,,,,True
"Crown America , 5450 South St , Lakewood , CA , 90712",33.8599152,-118.1262913,Lakewood Car Wash & Detail Center,0.912589371677607,4.2,748,False,Not a Competitor,"The business name contains the keyword ""Detail"", which indicates it is a 'Not a Competitor'.",,,,,False
"Crown America , 5450 South St , Lakewood , CA , 90712",33.8599152,-118.1262913,TLC Express Auto Wash,0.964940364042848,4.3,251,False,Competitor,"The business name contains 'Express', indicating an automated car wash, which classifies it as a Competitor despite also containing 'Auto'.",,,,,True
"Cruiseru0027s Corner Car Wash , 17405 SW Farmington Rd , Aloha , OR , 97007",45.4808588,-122.8567288,Custom Correction Mobile Detailing,0.73043105257677,4.9,73,False,Not a Competitor,"The business is classified as 'Not a Competitor' because it contains keywords like 'Mobile' and 'Detailing', which indicate a focus on specialized, manual, or customer-operated services.",,,,,False
"Cruiseru0027s Corner Car Wash , 17405 SW Farmington Rd , Aloha , OR , 97007",45.4808588,-122.8567288,Aloha Details LLC,0.768079745495715,4.8,4,False,Not a Competitor,"The business is classified as 'Not a Competitor' because the name contains the keyword 'Details', which indicates a detailing service rather than an automated car wash.",,,,,False
"Cruiseru0027s Corner Car Wash , 17405 SW Farmington Rd , Aloha , OR , 97007",45.4808588,-122.8567288,Car Wash,0.83515776002602,1,1,False,Can't say,"The name ""Car Wash"" is generic and does not contain specific keywords to classify it as a competitor or not a competitor.",,ChIJ76gsM14OlVQRZQo9UdL-7VM.jpg,Not a Competitor,"The provided image shows a small car wash structure but lacks clear indicators of an express tunnel system. The building appears too short to house a 34-foot or longer tunnel. There is no visible entrance or exit labeled, nor signs of automated equipment or a conveyor system inside the tunnel. The setup does not align with the criteria for a competitor as listed.",False
"Cruiseru0027s Corner Car Wash , 17405 SW Farmington Rd , Aloha , OR , 97007",45.4808588,-122.8567288,GoDetail Mobile Car Detailing Beaverton,0.928127707311478,4.8,100,False,Not a Competitor,"The business name contains keywords 'Detailing' and 'Mobile', which indicate a traditional or niche service provider rather than an automated, full-service wash.",,,,,False
"DAVID CHEVROLET , 10225 Niagara Falls Blvd , Niagara Falls , NY , 14304",43.0986208,-78.9422278,David's Car Wash & Details,0.102638163103385,4.2,64,False,Not a Competitor,"The term ""Details"" indicates a value-added service, classifying it as Not a Competitor.",,,,,False
